district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
NANDURBAR,0.0266382012963283,0.3534940658975848,45.572782964614895,0.6796536796536796,0.8686868686868687,0.6195286195286195,29.9,57.7,63.5,94.6,54.1,96.2,15.3,24.0 ,10.6 ,62.6
NARAYANPUR,0.0448127685696746,0.1362153344208809,34.70053410982098,0.6387959866220736,0.9882943143812708,0.5367892976588629,26.5,53.8,54.0,90.5,52.8,90.1,83.1,11.1 ,2.5 ,57.7
NARMADA,0.1928211377610369,0.2018041237113401,47.026802409980846,0.9091928251121076,0.9943946188340808,0.9955156950672646,22.6,67.3,66.0,96.8,54.6,92.7,51.1,29.5 ,12.0 ,80.2
NARSIMHAPUR,-0.0596247085384358,0.204334111670968,32.39385854562623,0.8918770581778266,0.9983534577387486,0.9895718990120748,31.4,73.6,73.8,99.8,77.0,99.0,49.4,19.6 ,6.5 ,78.9
NASHIK,0.0119538150947962,0.2896619752539295,36.91977338083221,0.9077199281867144,0.9684021543985636,0.8937163375224416,42.6,80.0,78.2,86.3,68.3,95.3,14.7,29.6 ,14.0 ,55.0
NAVSARI,-0.0979116740842176,0.184829100268746,39.77973582335247,0.9257142857142856,0.9714285714285714,0.9990476190476192,47.7,84.1,77.9,97.4,80.1,98.7,42.0,15.7 ,3.3 ,78.2
NAWADA,0.3513869382022472,0.2552364982882694,69.79926409720889,0.9435555555555556,0.2093333333333333,0.656,37.3,62.1,61.4,99.3,47.9,97.4,8.1,43.3 ,9.4 ,69.8
NAYAGARH,0.0087523870146403,0.1718265596466641,36.16109515703661,0.9211309523809524,0.9977678571428572,0.9479166666666666,27.1,81.9,76.1,82.9,67.1,98.3,49.3,35.7 ,10.0 ,78.2
NEEMUCH,0.0887452880990845,0.2445872801082543,30.59838211246349,0.94480755265069,0.9992737835875092,0.9854756717501816,27.9,68.5,64.1,91.7,68.9,99.6,43.3,29.3 ,4.1 ,73.4
NEW DELHI,-0.1539985144837832,-0.1602891156462584,27.556911204170554,0.7816091954022989,1.0,1.0,57.9,83.9,85.9,99.1,69.4,100.0,25.2,10.2 ,5.2 ,77.0
NICOBARS,-0.0095652173913043,0.1493506493506493,25.9460667907611,0.9827586206896552,1.0,0.913793103448276,53.5,87.5,78.0,98.8,83.5,97.9,2.7,11.4 ,1.8 ,65.3
NIRMAL,0.0386824244150173,0.3379493712956295,39.13124657335412,0.6357677902621723,0.8726591760299626,0.8820224719101124,40.9,58.6,53.3,98.3,63.6,99.5,49.9,23.3 ,9.6 ,59.3
NIZAMABAD,0.0040750754280788,0.2893487109905021,41.57206245214716,0.7020925110132159,0.8986784140969163,0.968612334801762,42.4,63.1,54.3,99.4,72.5,99.9,52.3,23.7 ,3.8 ,60.3
NORTH,-0.112390350877193,-0.0834684480186782,38.76964659917598,0.6389776357827476,1.0,1.0,53.9,81.9,80.8,99.3,70.2,99.8,18.1,17.0 ,8.2 ,57.4
NORTH GARO HILLS,0.0989540700318326,0.7284957195271097,62.42033620280193,0.6494845360824743,0.0320733104238258,0.1867124856815578,38.4,86.1,91.3,51.5,84.9,97.5,60.8,13.2 ,3.7 ,19.2
NORTH GOA,-0.134043134043134,0.0521470077729983,23.57447756315864,0.9827586206896552,1.0,1.0,72.0,92.4,89.5,98.1,87.7,100.0,64.8,7.5 ,2.7 ,63.1
NORTH TRIPURA,0.0995762711864406,0.2150664380625804,45.58856277358037,0.6494464944649446,0.3523985239852398,0.6439114391143912,23.7,83.1,86.4,75.6,74.1,96.2,28.7,34.2 ,11.9 ,78.3
NUAPADA,0.1279292204686752,0.387239165329053,48.68423990560682,0.8643911439114391,0.9981549815498156,0.9649446494464944,27.3,57.2,60.9,97.5,58.4,94.6,45.3,15.6 ,3.9 ,71.4
PALAKKAD,0.001088389304761,0.2106024038806184,40.014789912028434,0.9669694467382328,0.9777043765483072,0.9966969446738232,63.2,94.4,89.6,94.7,99.0,98.9,53.8,14.1 ,4.4 ,58.9
PALAMU,0.2428948208773402,0.1690279493514515,82.14029519125151,0.9514295556321049,0.925938684119876,0.8949362728212195,36.5,65.4,63.5,94.9,46.3,95.8,55.8,35.4 ,6.1 ,60.1
PALGHAR,0.0145784216580676,0.2520727955363195,46.98848932905337,0.8918429003021148,0.8395770392749244,0.8380664652567976,48.3,77.6,77.5,91.1,75.1,97.7,18.8,14.6 ,4.7 ,71.8
PALI,-0.0651094704684318,0.160239966901117,22.454571004047445,0.8078817733990148,0.7836990595611285,0.948499776085983,36.6,76.3,67.1,96.2,81.8,99.7,96.2,11.8 ,2.2 ,57.8
PALWAL,0.1953345653614142,0.2726689134970309,37.37867771804908,0.8908606921029282,0.935226264418811,0.9698314108251996,39.4,71.1,67.0,96.7,80.3,98.9,23.5,23.8 ,4.7 ,71.2
PANCH MAHALS,0.1568059164501298,0.2873247663551401,41.52597828137948,0.9389848812095032,0.9719222462203024,1.0,28.4,71.7,70.1,91.0,58.9,95.5,34.0,34.1 ,10.5 ,71.4
PANCHKULA,-0.115539033457249,0.2235614992081647,25.25566927206692,0.9789473684210528,0.9964912280701754,0.9982456140350876,60.3,87.9,81.2,99.2,82.6,99.5,19.9,7.4 ,1.4 ,76.6
PANIPAT,0.0354368932038835,0.1223664250800606,28.086812481382022,0.9280500521376434,0.9124087591240876,0.9979144942648592,52.1,85.9,78.3,99.9,79.3,99.6,26.5,11.9 ,5.7 ,70.1
PANNA,0.3000028390540272,0.3679237947122862,41.87607256854984,0.8103525211958947,1.0,0.751896474788041,24.0,62.9,63.7,85.5,43.8,95.8,12.6,22.8 ,8.0 ,67.6
PAPUM PARE,0.0611848494658465,0.4336180124223602,19.9454419363316,0.4495798319327731,0.1176470588235294,0.5546218487394958,50.5,78.2,77.6,92.9,75.7,98.7,26.9,25.4 ,6.0 ,47.7
PARBHANI,0.032802037546728,0.3398870529177996,33.88411174282667,0.807931199235547,0.9015766841853798,0.7673196368848543,28.8,73.4,67.1,89.0,60.1,96.8,10.5,48.0 ,13.7 ,42.0
PASCHIM MEDINIPUR,0.0066369230459347,0.4478290542424038,27.105785633363375,0.9744358754641532,0.8930305626963725,0.9817195087117966,26.2,70.9,72.1,95.5,58.3,95.4,25.8,55.7 ,25.0 ,60.7
PASHCHIM CHAMPARAN,0.4666687910267032,0.4860648527543248,76.38145028844154,0.9165455074149462,0.4678685664437336,0.8310555394009886,21.6,52.5,59.8,99.7,43.3,93.5,20.0,39.1 ,12.5 ,50.7
PASHCHIMI SINGHBHUM,0.1839701389107632,0.3744696264100176,90.11760905281106,0.867808519982433,0.9907773386034257,0.9038208168642952,22.9,49.8,58.4,79.3,37.7,83.3,46.7,24.4 ,6.7 ,55.9
PATAN,0.2378850813430252,0.2720441650053673,37.0608993949418,0.8681780016792612,0.968094038623006,1.0,22.6,71.1,64.8,99.4,73.1,98.3,50.2,35.4 ,2.3 ,65.6
PATHANAMTHITTA,0.0246599720350833,-0.0585291644981784,25.554967302211185,0.9612756264236902,0.8006833712984055,0.9965831435079726,84.5,99.7,97.7,94.1,98.9,99.6,50.1,0.0 ,0.0 ,59.3
PATHANKOT,0.0028885037550548,0.0564543889845094,24.261813968785024,0.9540682414698164,0.847769028871391,1.0,74.0,90.5,82.8,98.6,79.2,99.9,27.0,4.6 ,2.7 ,62.6
PATIALA,0.0170068729231595,0.0468861152428377,37.60743058422934,0.9300960512273212,0.7134471718249733,0.9967982924226254,56.0,78.6,76.9,99.1,88.1,99.7,33.8,7.8 ,5.2 ,71.7
PATNA,0.3392619868026935,0.2760964303390997,58.39797820730112,0.8630539802562487,0.362738920394875,0.9161940768746062,43.6,67.6,69.5,98.8,61.0,99.0,10.2,26.6 ,10.1 ,49.3
PEDDAPALLI,0.0345277320153761,0.3858250753985351,28.193584133931193,0.7875647668393783,0.8380829015544041,0.9624352331606216,46.6,73.7,61.3,98.0,77.8,99.5,59.1,13.6 ,4.6 ,66.1
PERAMBALUR,-0.0082098518221866,0.0419142946512355,22.85376631086354,0.8216318785578748,0.9905123339658444,0.9905123339658444,49.0,83.0,73.1,100.0,57.4,99.1,75.5,21.4 ,7.7 ,63.1
PEREN,-0.0181588902900378,0.4129511677282378,31.577012619012443,0.7861271676300579,0.8439306358381503,0.6763005780346821,35.5,77.6,81.1,92.5,89.4,98.2,5.4,9.1 ,4.4 ,58.6
