district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
JAISALMER,0.180748424516201,0.21802787087669800,29.945729377692800,0.6921797004991680,0.6400443704936220,0.819744869661675,18.7,63.5,61.7,95.2,75.7,97.3,93.7,28.9,1.0,83.0
JALANDHAR,0.034725638388265300,0.06655997672219390,35.99357971596490,0.9296577946768060,0.6829847908745250,1.0,64.4,88.1,82.1,99.9,88.2,99.6,25.9,7.4,0.7,66.6
JALAUN,0.27441664810828200,0.17263799979890700,37.83394940755680,0.8489603766182820,0.8214986269125150,0.8650451157316590,38.9,71.0,71.9,99.0,80.2,96.9,17.6,16.9,2.2,62.4
JALGAON,-0.0009521428021850300,0.3666896588316440,40.79946724714350,0.8812907045589110,0.9819419775014800,0.9191829484902310,40.8,76.5,77.5,94.3,59.7,96.8,11.9,28.0,10.7,44.0
JALNA,0.019063945803040300,0.17828483855175500,33.701937394500400,0.8063452822414500,0.8990523279769260,0.7709105892047800,34.3,71.8,67.6,82.8,63.6,95.7,9.7,35.0,10.1,49.7
JALOR,0.02835027510957760,0.25319095159863500,26.045757373236300,0.8253055355859100,0.785765636232926,0.9518332135154570,22.2,62.6,59.5,98.3,77.4,98.4,96.6,23.3,2.9,54.2
JALPAIGURI,-0.03103040855668170,0.5085218339238170,29.423299759892900,0.9643513414185960,0.6387357589121650,0.9474457919882400,33.9,73.6,73.7,95.2,73.2,97.4,35.8,18.7,11.8,82.7
JAMMU,0.006966983771684370,0.12611903303881300,19.189968262549100,0.8562962962962960,0.562962962962963,0.9772839506172840,70.8,91.5,84.0,99.9,81.2,100.0,23.3,5.3,0.0,67.9
JAMNAGAR,0.18911207486875100,0.3028366408790220,30.827640182199300,0.8304446119065560,0.9208741522230600,1.0,35.3,83.1,72.8,99.7,86.6,98.9,38.6,6.8,1.0,85.2
JAMTARA,0.24921598036542100,0.37136867325546600,75.57783822444930,0.944,0.9742222222222220,0.9733333333333330,21.4,57.4,63.7,93.0,52.8,92.2,62.9,50.5,14.9,69.3
JAMUI,0.36698105751244800,0.333607934354203,74.41925223028880,0.9373786407766990,0.7402912621359220,0.7320388349514560,20.6,48.7,53.1,90.5,37.6,97.9,14.3,51.9,15.4,69.6
JANJGIR - CHAMPA,0.05256060823411280,0.4175912850514420,45.02825603187920,0.9106548279689230,0.9900110987791340,0.9972253052164260,37.3,77.0,67.7,97.2,78.8,99.5,74.0,10.2,3.5,74.8
JASHPUR,0.0773148875962899,0.07114956529043640,31.92217343868130,0.7643527204502820,1.0,0.6105065666041280,34.9,75.1,67.9,88.8,72.8,98.2,80.6,21.9,5.5,56.0
